년-월,원유_원재자가_Dubai,원유_수입량(천배럴),원유_처리량(천배럴),석유_제품생산량(천배럴),원유_합계수입량,원유_합계수입가,원유_합계단가,석탄_생산소비량(천톤),석탄_생산량(천톤),석탄_수급소비량(천톤),석탄_산업용소비량(천톤),천연가스_생산량,천연가스_단위가격,천연가스_금액,천연가스_중량
Jan-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Feb-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Mar-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Apr-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
May-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Jun-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Jul-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Aug-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Sep-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Oct-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Nov-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Dec-80,,,,,14038.75,430112.5833,2.583333333,,,,,,,,
Jan-81,,,,,14295.25,507590.1667,3,,,,,,,,
Feb-81,,,,,14295.25,507590.1667,3,,,,,,,,
Mar-81,,,,,14295.25,507590.1667,3,,,,,,,,
Apr-81,,,,,14295.25,507590.1667,3,,,,,,,,
May-81,,,,,14295.25,507590.1667,3,,,,,,,,
Jun-81,,,,,14295.25,507590.1667,3,,,,,,,,
Jul-81,,,,,14295.25,507590.1667,3,,,,,,,,
Aug-81,,,,,14295.25,507590.1667,3,,,,,,,,
Sep-81,,,,,14295.25,507590.1667,3,,,,,,,,
Oct-81,,,,,14295.25,507590.1667,3,,,,,,,,
Nov-81,,,,,14295.25,507590.1667,3,,,,,,,,
Dec-81,,,,,14295.25,507590.1667,3,,,,,,,,
Jan-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Feb-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Mar-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Apr-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
May-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Jun-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Jul-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Aug-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Sep-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Oct-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Nov-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Dec-82,,,,,14320.16667,487356.9167,2.833333333,,,,,,,,
Jan-83,,,,,16081,480666.3333,2.5,,,,,,,,
Feb-83,,,,,16081,480666.3333,2.5,,,,,,,,
Mar-83,,,,,16081,480666.3333,2.5,,,,,,,,
Apr-83,,,,,16081,480666.3333,2.5,,,,,,,,
May-83,,,,,16081,480666.3333,2.5,,,,,,,,
Jun-83,,,,,16081,480666.3333,2.5,,,,,,,,
Jul-83,,,,,16081,480666.3333,2.5,,,,,,,,
Aug-83,,,,,16081,480666.3333,2.5,,,,,,,,
Sep-83,,,,,16081,480666.3333,2.5,,,,,,,,
Oct-83,,,,,16081,480666.3333,2.5,,,,,,,,
Nov-83,,,,,16081,480666.3333,2.5,,,,,,,,
Dec-83,,,,,16081,480666.3333,2.5,,,,,,,,
Jan-84,,,,,16623.5,482699.0833,2.416666667,,,,,,,,
