품목,2019_1분기,2019_2분기,2019_3분기,2019_4분기,2020_1분기,2020_2분기,2020_3분기,2020_4분기,2021_1분기,2021_2분기,2021_3분기,2021_4분기,2022_1분기,2022_2분기,2022_3분기,2022_4분기,2023_1분기
원유_Dubai기준,63.39,67.34,61.19,62.45,50.65,30.62,42.98,41.42,60.02,67.39,71.56,78.07,95.14,109.73,97.33,85.38,80.09
나프타,520.67,540.33,493.88,550.65,441.92,276.81,399.22,372.65,559.47,615.27,676.82,740.19,877.96,878.21,712.43,674.26,684.23
에틸렌,1029.33,916.67,864.17,757.33,722.92,588.58,790.92,700.81,1010.92,1042.25,1011.50,1122.00,1153.50,1112.33,894.00,870.67,884.94
프로필렌,938.33,900.33,948.17,874.42,803.08,719.00,852.00,791.36,1061.25,1066.83,1007.42,1031.50,1131.00,1074.42,899.17,875.39,928.89
HDPE(고밀도폴리에틸렌),1001.33,961.67,874.00,810.83,790.58,735.17,847.83,791.19,1048.50,1041.42,1042.92,1117.67,1096.83,1086.50,956.00,898.44,957.28
PP(폴리프로필렌),1060.33,1077.67,1019.25,961.33,883.17,809.58,918.92,870.56,1140.00,1128.50,1116.67,1172.42,1147.67,1134.42,961.08,902.06,937.89
